Sl. No.,Food Commodities,Units,State/UT,2018,2019,2020,2021,2022,2023
72,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Bihar,24.17,25.45,25.59,24.54,30.94,33.45
73,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Chandigarh,25,26.01,26.02,23.6,27.74,34.78
74,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Chhattisgarh,26.28,28.84,31.12,31.2,33.36,36.43
75,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Delhi,24.41,26.41,25.28,24.48,28.49,31.13
76,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Goa,28.01,30.11,30.77,30.92,34.81,41.37
77,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Gujarat,22.78,22.74,26.01,27.46,31.98,35.5
78,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Haryana,23.95,23.6,25.38,25.71,29.41,32.67
79,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Himachal Pradesh,23.76,25.61,25.93,24.68,28.85,31.91
80,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Jammu and Kashmir,23.46,27.17,29.81,29.68,36.72,40.4
81,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Jharkhand,24.87,26.86,27.51,25.98,30.53,34.6
82,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Karnataka,35.02,35.58,36.76,37.8,42.55,44.73
83,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Kerala,36.81,36.14,37.1,39.16,43.24,47.21
84,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Madhya Pradesh,22.64,24.48,24.92,28.35,30.8,32.75
85,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Maharashtra,29.97,30.9,36.32,36.61,39.81,41.89
86,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Manipur,31.33,34.91,40.26,37.29,36.9,42.6
87,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Meghalaya,30,31.98,31.3,30.61,33.17,38.18
88,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Mizoram,25,24.5,42.96,49.63,42.74,43.48
89,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Nagaland,30.8,32.74,37.89,33.08,41.2,44.13
90,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Orissa,24.83,27.23,28.49,28.65,34.08,39.23
91,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Puducherry,28.05,32,32.97,43.26,33.98,35.02
92,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Punjab,22.16,23.47,25.81,27.91,27.28,29.08
93,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Rajasthan,22.51,25.02,26.97,27.51,32.05,32.92
94,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Sikkim,30.35,31.92,33.71,30.12,36.28,41.81
95,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Tamil Nadu,31.95,36.63,38.93,42.1,45.29,49.53
96,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Telangana,29.18,31.25,34.73,40.63,39.15,41.08
97,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,34.37,36.86
98,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Tripura,29.5,28.86,36.84,30.45,33.9,38.45
99,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Uttar Pradesh,22.32,24.04,25.41,25.89,29.92,31.67
100,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Uttarakhand,24.09,25.64,26.34,25.87,30.38,32.89
101,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),West Bengal,23.69,25.32,26.56,28.85,31.1,36.86
102,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Andaman and Nicobar,72.58,79.55,82.76,86.62,84.06,84.62
103,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Andhra Pradesh,69.64,72.74,71.72,73.75,71.26,70.43
104,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Arunachal Pradesh,86.18,75.37,78.52,88.87,83.92,86.7
105,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Assam,61.09,65,66.49,71.47,68.26,73.21
106,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Bihar,59.51,60.42,61.37,70.87,68.3,68.04
107,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Chandigarh,55.81,55.56,60.19,70.14,74.74,73.57
108,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Chhattisgarh,64.93,65.51,65.69,76.97,73.11,71.99
109,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Delhi,73.02,73.96,75.49,73.1,71.37,72.06
110,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Goa,78.33,81.91,76.19,80.88,79.44,76.01
111,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Gujarat,61.7,58.74,60.4,69.01,68.9,73.83
112,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Haryana,60.55,60.15,62.38,70.93,67.59,64.62
113,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Himachal Pradesh,61.57,64.38,66.61,72.08,68.37,69.58
114,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Jammu and Kashmir,64.53,68.86,73.54,79.73,81.55,83.87
115,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Jharkhand,63.91,69.12,70.3,71.9,71.57,71.98
116,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Karnataka,80.33,70.06,71.74,80.58,75.54,79.03
117,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Kerala,74.38,75.73,77.65,89.57,95.25,93.72
118,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Madhya Pradesh,61.99,59.74,64.77,77.18,68.95,69.94
119,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Maharashtra,66.99,67.3,76.1,76.65,71.46,70.86
120,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Manipur,90.93,77.85,79.9,83.14,80.94,77.9
121,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Meghalaya,72.25,74.67,80.49,81.9,79.98,77.78
122,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Mizoram,NA,92.64,114.1,133.6,98.31,96.66
123,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Nagaland,72.41,64.46,65.53,80.75,93.73,97.92
124,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Orissa,58.13,62.61,65.45,70.12,68.22,69.03
125,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Puducherry,66.78,74.87,71.55,79.59,76.12,75.17
126,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Punjab,69.01,66.04,63.3,77.01,76.1,74.57
127,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Rajasthan,58.29,56.61,61.01,70.61,74.75,70.49
128,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Sikkim,67.51,65,66.38,81.01,82.38,80.3
129,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Tamil Nadu,65.42,71.21,73.22,77.2,74.99,74.17
130,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Telangana,79,65.01,65.52,69.55,69.76,69.44
131,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,76.25,77.1
132,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Tripura,64.77,65.78,62.94,76.47,75.08,74.6
133,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Uttar Pradesh,60.21,63.04,65.11,73.69,71.64,70.6
134,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),Uttarakhand,69.79,64.38,64.25,78.32,89.3,82.79
135,Annual Average Retail Prices of Gram Dal,Unit - (Rs./Kg.),West Bengal,70.64,68.88,73.95,76.21,75.74,74.36
136,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Andaman and Nicobar,75.54,91.59,107.9,113.4,118.1,134.6
137,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Andhra Pradesh,66.41,77.71,94.65,104.6,108.9,122.8
138,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Arunachal Pradesh,89.7,90.82,100.6,101.5,117.4,124.7
139,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Assam,70,76.63,89.16,101.8,105,117.2
140,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Bihar,69.45,81.67,89.92,101.5,104.1,116.1
141,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Chandigarh,61.19,70.81,86.15,110.1,113.1,116.4
142,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Chhattisgarh,69.53,83.38,91.62,97.04,96.82,111.6
143,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Delhi,82.63,92.78,101.7,109.2,108.8,129.7
144,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Goa,70.45,90.36,105.4,109.1,117.4,134.8
145,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Gujarat,68.7,69.14,83.83,100.6,102.7,113.9
146,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Haryana,75.76,75.68,93.38,102.4,101.2,107.6
147,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Himachal Pradesh,70.37,81.18,95.69,107.4,106.3,119.9
148,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Jammu and Kashmir,74.45,94.68,103.5,116.5,118.6,120.8
149,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Jharkhand,68.8,86.25,95.78,98.93,100.7,116.8
150,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Karnataka,73.6,84.79,100.8,105.9,106.8,125.8
151,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Kerala,74.1,91.83,103.8,119.1,124.2,140.4
152,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Madhya Pradesh,65.4,78.2,94.32,106.3,101.7,119.8
153,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Maharashtra,67.12,81.32,96.14,107.8,111.6,126.8
154,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Manipur,94.55,97.37,111,124.2,113.9,118.9
155,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Meghalaya,65.47,86.05,114.8,111.7,109.8,115.7
156,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Mizoram,80,98.3,119.6,138.4,125.9,115.4
157,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Nagaland,72.12,78.57,94.5,107.9,116.4,119.9
158,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Orissa,65.08,82.2,89.83,100.4,103.1,121.5
159,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Puducherry,76.21,96.9,106.7,115.7,117.3,135.8
160,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Punjab,76.3,81,90.75,109.1,115.3,122.7
161,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Rajasthan,61.66,75.4,93,106.4,106.6,110.1
162,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Sikkim,84.25,90.57,101.5,113.3,118.3,126.7
163,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Tamil Nadu,71.81,91.1,102.7,107.6,112.1,136.6
164,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Telangana,75.3,77.35,93.09,102,101.6,111.7
165,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,113.4,124.9
166,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Tripura,NA,NA,NA,114.2,114.1,116.2
167,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Uttar Pradesh,67.06,81.7,94.58,104.1,105.3,115.5
168,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),Uttarakhand,77.78,80.37,89.94,106.1,110.7,115
169,Annual Average Retail Prices of Tur/Arhar Dal,Unit - (Rs./Kg.),West Bengal,74.97,75.31,89.77,106.5,111.8,122.5
170,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Andaman and Nicobar,83.68,103.7,132.7,128.7,131.1,139.4
171,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Andhra Pradesh,73.19,82.49,109.4,114.7,115.9,120
172,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Arunachal Pradesh,99.41,93.7,106.9,117.3,119.8,121
173,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Assam,68.03,83.93,95.67,94.82,95.37,100.5
174,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Bihar,72.33,73.47,98.58,105,103.4,107.4
175,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Chandigarh,55.97,57.5,87.59,108.3,110.5,108.7
176,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Chhattisgarh,61.97,63.97,89.5,96.1,97.57,97.97
