Sl. No.,Food Commodities,Units,State/UT,2018,2019,2020,2021,2022,2023
405,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Arunachal Pradesh,114,115.1,134.4,174.8,213.7,209.9
406,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Assam,100,100,124.8,166.8,179.3,167.8
407,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Bihar,106.4,116,132.6,181.2,190.1,180
408,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Chandigarh,88.78,91.4,108.9,155.2,170.8,177
409,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Chhattisgarh,93.28,97.2,106.9,151.1,171,158.7
410,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Delhi,109.2,114.1,133.8,182.4,199.3,169.3
411,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Goa,113.8,117,132.9,161,176.7,141.4
412,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Gujarat,83.83,85.95,95.57,152.3,169.7,167.5
413,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Haryana,101.3,100.2,113.4,165.3,176.1,174
414,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Himachal Pradesh,96.12,101.8,121.1,166.1,172.3,162.6
415,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Jammu and Kashmir,125.3,129,151.7,179.7,184.5,181
416,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Jharkhand,105.2,109.4,129.5,180.6,188.4,165.2
417,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Karnataka,86.2,90.27,109.3,156,168.9,140.6
418,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Kerala,92.07,97.97,111.9,158.5,172.7,141
419,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Madhya Pradesh,89.09,92.8,100.5,160.9,167.2,155.5
420,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Maharashtra,91.85,90.91,108.1,160.4,172.2,145.4
421,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Manipur,NA,NA,133.5,173,211,195.8
422,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Meghalaya,118.4,132.6,128.6,176,191.3,182.8
423,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Mizoram,98,95.95,112.6,167.4,206.2,180
424,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Nagaland,115,117.5,121.2,174.7,203.1,185.1
425,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Orissa,97.6,102.1,117.1,163.6,175.9,134.5
426,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Puducherry,94.6,98.03,116.2,147.6,158.6,124.5
427,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Punjab,105.2,101.6,118.4,174.6,196.1,166.4
428,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Rajasthan,93.3,100.6,120.8,184,189.2,170.9
429,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Sikkim,115.2,115.9,134.1,205.4,219.3,201.4
430,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Tamil Nadu,96.72,100.8,115.2,160.2,176.4,131.8
431,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Telangana,86.45,92.09,105.9,150.4,171.6,149.1
432,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,193.9,174.4
433,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Tripura,NA,NA,NA,174.4,190.8,176.9
434,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Uttar Pradesh,106.3,108.7,121.4,167.7,177.9,167.1
435,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),Uttarakhand,105.7,104.3,120.2,150.5,175.1,161.8
436,Annual Average Retail Prices of Sunflower Oil (Packed),Unit - (Rs./Kg.),West Bengal,93,95.3,107.2,161.3,170.7,151.3
437,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Andaman and Nicobar,99.7,93.46,116.3,153.5,156.5,132.9
438,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Andhra Pradesh,70.48,68.95,88.16,124,131.3,108.4
439,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Arunachal Pradesh,85,NA,NA,110,138,138
440,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Assam,NA,NA,100.1,129.7,137.1,118.5
441,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Bihar,74.1,72.29,94.38,133.5,134.7,115.7
442,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Chandigarh,NA,NA,NA,119.4,137.8,120.9
443,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Chhattisgarh,83.78,77.15,86.25,126.5,142.4,123.2
444,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Delhi,84.62,79.73,103.1,128.9,142.5,110.7
445,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Goa,84.19,81.18,101.1,131.2,131.4,103.7
446,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Gujarat,73.15,74.49,83.42,119.2,140,129.1
447,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Haryana,79.3,80.51,88.51,127.3,137.2,116.5
448,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Himachal Pradesh,81.91,77.27,87.96,132.6,140.2,122.5
449,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Jammu and Kashmir,101.1,102,130.7,139.5,150.2,138.8
450,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Jharkhand,86.23,84.71,105,131.9,132.3,115.1
451,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Karnataka,73.29,71.97,89.61,130.3,132.5,103.5
452,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Kerala,75,75.73,95.49,133.6,136.3,108.5
453,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Madhya Pradesh,70.87,76.32,79.33,105.9,118.8,117.9
454,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Maharashtra,74.78,73.66,91.67,131.3,134.3,109.4
455,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Manipur,98,97.7,113.3,120.7,145.7,130.8
456,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Meghalaya,84.92,86.98,119.2,135.4,143.3,139.4
457,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Mizoram,NA,NA,NA,140.7,140.6,131.4
458,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Nagaland,120,111.5,110,88.98,166.5,153.3
459,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Orissa,83.71,79.57,100.1,138.2,135.6,102.3
460,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Puducherry,80.08,75.43,98.07,125,125.4,101.7
461,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Punjab,NA,85.31,99.27,125.5,125.6,109.3
462,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Rajasthan,88.13,81.18,81.72,111.8,145.5,134.9
463,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Sikkim,NA,NA,NA,176,NA,NA
464,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Tamil Nadu,79.07,74.57,94.02,130.7,134.5,100.1
465,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Telangana,66.56,70.33,87.95,123.9,135.2,110.3
466,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,126.7,116.8
467,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Tripura,NA,NA,NA,128.6,140,113.4
468,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Uttar Pradesh,79.71,80.83,94.06,129.4,132.1,115.8
469,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),Uttarakhand,NA,69,80.05,NA,138.4,116.2
470,Annual Average Retail Prices of Palm Oil (Packed),Unit - (Rs./Kg.),West Bengal,70.73,70.46,80.98,122.8,132,107.3
471,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Andaman and Nicobar,31.41,32.44,50,38.14,50.05,41.32
472,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Andhra Pradesh,19.06,19.49,33.34,25.44,32.39,30.76
473,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Arunachal Pradesh,19.07,28.9,40.52,32.5,31.49,24.52
474,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Assam,17.82,15.35,28.68,17.6,23.55,17.38
475,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Bihar,16.76,14.6,26.35,17.09,19.19,15.94
476,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Chandigarh,14.98,15.6,25.21,16.26,20.27,16.92
477,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Chhattisgarh,17.31,17.58,29.48,21.33,23.58,21.02
478,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Delhi,24.73,21.57,32.35,18.67,23.04,19.98
479,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Goa,26.12,28.93,37.24,30,34.06,31.69
480,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Gujarat,15.95,18.06,27.02,21.24,23.18,24.55
481,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Haryana,17.09,17.03,26.57,17.56,20.35,16.53
482,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Himachal Pradesh,18.29,18.44,31.19,18.43,24.97,21.91
483,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Jammu and Kashmir,20.77,21.85,33.96,25.56,27.94,24.46
484,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Jharkhand,16.16,14.55,28.98,16.66,20.37,16.27
485,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Karnataka,22.7,25.02,33.58,26.54,30.14,29.38
486,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Kerala,29.86,29.37,41.49,33.68,39.14,32.64
487,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Madhya Pradesh,17.43,14.84,27.41,19.97,20.65,18.14
488,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Maharashtra,22.89,23,35.49,22.78,27.67,25.75
489,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Manipur,27.47,24.83,38.34,21.39,30.03,24.41
490,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Meghalaya,22.63,20.9,34.46,22.06,28.12,24.6
491,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Mizoram,35.59,31.06,40.74,38.46,39.76,36.54
492,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Nagaland,23.52,18.81,33.79,21.3,33.24,31.08
493,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Orissa,14.21,14.36,27.03,15.87,22.28,17.04
494,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Puducherry,24.65,24.13,35.74,29.4,35.28,25.21
495,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Punjab,13.11,12.84,27.63,18.42,22.47,16.19
496,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Rajasthan,13.32,13.04,27.31,20.01,23.72,20.19
497,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Sikkim,26.13,22.22,41.09,33.3,33.94,29.99
498,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Tamil Nadu,24.36,26.35,37.34,30.92,35.39,31.31
499,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Telangana,22.17,23.29,33,24.18,24.11,27.15
500,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,22.92,22.76
501,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Tripura,21.01,18.23,32.78,20.81,28.04,22.78
502,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Uttar Pradesh,15.61,13.55,26.91,18.66,21.2,15.55
503,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),Uttarakhand,19.28,18.17,30.44,17.85,23.36,16.09
504,Annual Average Retail Prices of Potato,Unit - (Rs./Kg.),West Bengal,14.56,13,25.92,14.66,20.74,17.24
505,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Andaman and Nicobar,35.55,64.86,57.86,52.74,47.11,44.37
506,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Andhra Pradesh,19.42,27.86,32.34,30.06,27.2,23.74
507,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Arunachal Pradesh,25.1,47.55,53.88,62.5,37.49,35.55
508,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Assam,26.73,35.89,36.67,38.37,30.25,25.61
509,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Bihar,20.89,30.41,30.89,29.51,24.53,20.8
510,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Chandigarh,22.69,32.96,32.99,32.43,28.49,25.05
511,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Chhattisgarh,23.34,32.47,37.05,30.67,26.27,23.93
512,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Delhi,29.17,38.49,37.7,34.33,29.42,27.72
513,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Goa,24.71,39.85,39.63,36.92,33.2,27.02
514,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Gujarat,22.52,28.26,37.28,29.86,26.53,23.74
515,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Haryana,25.23,32.62,33.51,29.22,22.91,21.81
516,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Himachal Pradesh,25.06,32.97,36.7,33.07,29.72,27.59
517,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Jammu and Kashmir,27,37.53,41.4,38.78,32.61,28.6
518,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Jharkhand,20.6,32.74,33.39,31.49,29.27,21.05
519,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Karnataka,23.53,32.24,37.23,31.11,27.77,24.15
520,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Kerala,26.86,40.36,36.39,37.2,30.79,24.43
521,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Madhya Pradesh,19.71,25.57,28.98,27.06,21.16,17.86
522,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Maharashtra,22.42,31.62,38.13,31.33,25.65,21.54
523,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Manipur,41.32,43.83,52.75,46.8,30.71,38.57
524,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Meghalaya,34.86,41.16,46.81,45.51,42.07,34.51
525,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Mizoram,45.94,47.17,66.6,56.08,57.11,50.84
526,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Nagaland,41.64,37.87,46.34,44.96,43.17,43.93
527,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Orissa,20.45,32.61,32.88,31.99,25.25,21.35
528,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Puducherry,19.64,32.39,34.53,33.88,29.27,22.39
529,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Punjab,24.71,34.14,37.33,35.21,29.75,24.01
530,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Rajasthan,16.77,21.55,28.88,29.05,25.96,21.83
531,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Sikkim,30.2,35.68,43.18,42.78,36.41,34.37
532,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Tamil Nadu,21.79,40.9,36.15,34.61,29.68,25.19
533,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Telangana,20,30.56,31.71,27.65,26.89,26.26
534,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,25.47,22.86
535,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Tripura,31.88,40.77,40.91,41.57,34.13,27.69
536,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Uttar Pradesh,22.75,29.94,33.19,32.7,25.03,21.75
537,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),Uttarakhand,30.14,31.81,37.78,33.99,30.03,22.02
538,Annual Average Retail Prices of Onion,Unit - (Rs./Kg.),West Bengal,26.03,31.47,37.33,35.19,29.48,23.15
539,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Andaman and Nicobar,39.84,60.18,64.26,68.4,74.53,78.22
540,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Andhra Pradesh,13.52,22.98,24.58,27.85,29.4,34.56
541,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Arunachal Pradesh,27.89,52.18,55.73,73.33,56.87,51.27
542,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Assam,36.73,43.99,49.97,35.72,45.32,37.61
543,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Bihar,25.81,30.17,37.6,33.27,38.4,33.37
544,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Chandigarh,21.89,31.18,33.65,32.84,38.59,36.59
545,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Chhattisgarh,16.55,26.93,32.89,26.12,29.33,30.59
546,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Delhi,29.18,39.58,39.65,33.82,36.91,41.89
547,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Goa,22.63,38.02,34.87,34.97,33.87,43.13
548,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Gujarat,25.6,26.22,29.75,26.66,36.74,43.35
549,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Haryana,25.5,33.7,33.68,27.94,31.02,35.08
550,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Himachal Pradesh,23.9,33.69,38.76,34.97,40.68,44.43
551,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Jammu and Kashmir,26.24,41.33,43.13,45.11,45.58,41.39
552,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Jharkhand,18.53,26.03,33.47,34.02,34.06,31.95
553,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Karnataka,13.64,28.6,23.35,27.64,29.7,33.12
554,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Kerala,19.94,29.69,28.1,40.69,39.27,45.83
555,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Madhya Pradesh,19.63,25.32,29.63,26.95,28.57,34.72
556,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Maharashtra,23.48,31.15,33.6,32.14,33.87,33.48
557,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Manipur,46.2,53.2,65.98,60.16,68.15,52.58
558,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Meghalaya,34.31,43.98,53.94,41.15,51.07,47.81
559,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Mizoram,68.74,71.38,81.5,51.42,67.29,62.84
560,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Nagaland,37.04,40.37,45.99,40.59,61.99,66.78
561,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Orissa,18.96,31.41,32.97,32.4,35.79,37.29
562,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Puducherry,11.59,22.84,20.62,24.25,25.36,25.33
563,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Punjab,22.74,32.39,38.35,36.88,37.67,43.1
564,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Rajasthan,15.42,24.31,32.67,32.2,34.38,33.84
565,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Sikkim,30,37.78,48.63,44.16,46.37,47.77
566,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Tamil Nadu,13.84,26.71,22.99,28.91,28.4,45.63
567,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Telangana,14.33,23.98,23.35,21.33,33.02,39.27
568,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,23.43,51.29
569,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Tripura,31.1,40.87,44.85,42.49,46.02,46.41
570,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Uttar Pradesh,22.22,31.08,35.25,34.66,34.34,36.27
571,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),Uttarakhand,28.8,32.06,34.53,30.4,34.77,31.86
572,Annual Average Retail Prices of Tomato,Unit - (Rs./Kg.),West Bengal,26.86,37.34,42.17,38.76,42.48,46.5
573,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Andaman and Nicobar,48.25,49.31,52.21,51.19,51.49,52.09
574,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Andhra Pradesh,40.2,39.6,41.83,40.59,40.61,41.11
575,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Arunachal Pradesh,43.38,44.75,52.72,54.71,49.6,50.36
576,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Assam,40.02,41.28,41.68,42.67,43.07,43.79
577,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Bihar,38.95,39.07,39.32,41.52,42.78,42.49
578,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Chandigarh,37.89,36.17,37.7,37.69,40.33,42.07
579,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Chhattisgarh,37.55,37.76,39.74,40,40.48,40.42
580,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Delhi,37.58,39.41,38.65,39.17,40.77,41
581,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Goa,38.23,39,38.45,38.94,39.8,40.51
582,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Gujarat,37.18,35.55,37.1,38.37,39.35,40.66
583,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Haryana,37.93,36.91,38.05,39.47,41.63,41.66
584,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Himachal Pradesh,39.53,39.35,39.86,40.66,42.12,42.99
585,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Jammu and Kashmir,44.95,44.57,43.39,44.81,48.05,50.39
586,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Jharkhand,39.02,39.58,40.11,41.22,42.51,42.98
587,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Karnataka,37.77,36.86,38.37,38.8,39.48,39.66
588,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Kerala,38.83,37.99,39.07,39.93,41.07,41.41
589,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Madhya Pradesh,38.27,37.08,38.32,40.14,40.65,40.79
590,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Maharashtra,37.7,38.21,39.49,39.44,40.19,40.54
591,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Manipur,49.26,49.77,48.88,50,46.06,46.73
592,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Meghalaya,44.43,42.9,44.36,44.92,44.77,45.31
593,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Mizoram,54.21,50.44,50,52.48,50.56,49.94
594,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Nagaland,43.85,46.26,47.85,46.56,50.39,50.11
595,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Orissa,38.46,39.76,40.71,41.43,42.85,42.24
596,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Puducherry,36.78,37.65,38.73,41.61,40.22,38.75
597,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Punjab,37.15,37.26,37.56,39.87,41.14,41.42
598,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Rajasthan,37.05,36.82,37.96,40.53,41.7,40.92
599,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Sikkim,44.33,44.12,44.85,46.27,47.96,48.28
600,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Tamil Nadu,37.12,37.71,39.42,39.27,39.69,40.42
601,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Telangana,39.61,36.48,37.38,37.37,39.28,39.78
602,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,38.47,40.01
603,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Tripura,44.9,44.33,43.86,44.63,47.14,45.47
604,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Uttar Pradesh,37.81,38.34,39.12,40.87,41.36,41.22
605,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),Uttarakhand,38.39,38.07,39.37,40.96,42.12,41.39
606,Annual Average Retail Prices of Sugar,Unit - (Rs./Kg.),West Bengal,40.94,39.69,40,40.62,42.13,44.34
607,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Andaman and Nicobar,65.59,65.45,73.95,70.25,70.47,74.76
608,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Andhra Pradesh,45.25,45.67,49.1,53.33,54.18,56.43
609,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Arunachal Pradesh,60.4,58.27,65.8,60,74.41,76.19
610,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Assam,45.33,45.04,45.31,44.96,50.47,54.77
611,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Bihar,37.68,39.75,40.25,41.55,45.38,44.58
612,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Chandigarh,32.96,32.08,35.9,44.46,48.75,51.5
613,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Chhattisgarh,41.68,39.64,40.35,41.61,45.32,46.79
614,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Delhi,52.54,53.5,55.96,49.86,53.5,50.48
615,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Goa,55.54,55.21,51.53,55.64,55.25,54.94
616,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Gujarat,46.62,42.81,45.9,46.73,46.41,48.54
617,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Haryana,39.9,38.98,39.88,42.81,43,43.39
